name,sentence_id,,,,,
,,,,,,
Cap'n Bill,1
Trot,1
Cap'n Bill,2
Bill,9
Cap'n Bill,10
Bill,15
Bill,19
Trot,19
Trot,19
Cap'n Bill,20
Trot,21
Cap'n Bill,22
Cap'n Bill,23
Trot,23
Cap'n,26
Trot,26
Mebbe,29
Trot,36
Cap'n Bill,42
Trot,44
Bill,45
Trot,46
Cap'n,46
Bill,47
Cap'n Bill,50
Trot,50
Trot,54
Cap'n,54
Trot,58
Trot,68
Cap'n Bill,68
Cap'n,70
Bill,71
Trot,73
Cap'n Bill,75
Trot,75
Cap'n,78
Bill,79
Trot,79
Trot,82
Trot,84
Cap'n Bill,85
Trot,86
Bill,91
Trot,95
Bill,97
Cap'n Bill,99
Davy Jones,102
Cap'n,104
Trot,114
Bill,116
Trot,119
Trot,120
Trot,122
Trot,125
Cap'n Bill,126
Cap'n Bill,128
Trot,130
Cap'n Bill,131
Cap'n Bill,138
Cap'n Bill,142
Trot,144
Trot,149
Cap'n Bill,151
Trot,154
Cap'n,158
Cap'n Bill,159
Bill,162
Trot,163
Cap'n Bill,166
Cap'n Bill,170
S'pose,171
Cap'n,171
Trot,172
Trot,173
Trot,181
Trot,185
Ork,186
Trot,187
Ork,189
Ork,191
Ork,192
Ork,192
Cap'n Bill,193
Trot,196
Ork,198
Trot,202
Ork,204
Ork,209
Cap'n,210
Bill,211
Ork,212
Ork,214
Trot,215
Ork,215
Cap'n Bill,219
Flipper,225
Ork,225
Cap'n Bill,234
Ork,234
Ork,235
Bill,239
Ork,239
Trot,241
Ork,242
Cap'n Bill,244
Ork,245
Trot,248
Cap'n Bill,248
Ork,250
Trot,251
Ork,253
Cap'n Bill,256
Ork,257
Trot,258
Ork,260
Cap'n Bill,260
Ork,260
Trot,263
Bill,265
Trot,267
Ork,267
Cap'n Bill,271
Trot,272
Ork,274
Cap'n,275
Bill,276
Ork,281
Ork,282
Trot,283
Ork,284
Cap'n Bill,287
Ork,287
Ork,288
Ork,292
Cap'n Bill,293
Ork,295
Cap'n Bill,296
Ork,296
Trot,299
Cap'n Bill,301
Ork,303
Trot,304
Cap'n Bill,304
Ork,305
